doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,journal_is_oa,journal_issns,journal_name,published_date,publisher
10.1016/j.crpv.2014.05.003,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.05.003,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-01-01,Elsevier BV
10.1016/j.crpv.2014.07.004,oa repository (via OAI-PMH title and first author match),repository,,http://rodin.uca.es:80/xmlui/bitstream/10498/17275/1/Palevol%20Benz%c3%ba%20final.pdf,True,publishedVersion,2,https://doi.org/10.1016/j.crpv.2014.07.004,journal-article,True,False,1631-0683,Comptes Rendus Palevol,2015-01-01,Elsevier BV
10.1016/j.crpv.2014.08.001,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.08.001,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-01-01,Elsevier BV
10.1016/j.crpv.2014.08.002,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.08.002,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-01-01,Elsevier BV
10.1016/j.crpv.2014.08.003,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.08.003,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-01-01,Elsevier BV
10.1016/j.crpv.2014.09.002,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.09.002,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-01-01,Elsevier BV
10.1016/j.crpv.2014.10.001,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.10.001,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-01-01,Elsevier BV
10.1016/j.crpv.2014.10.002,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.10.002,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-02-01,Elsevier BV
10.1016/j.crpv.2014.10.003,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.10.003,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-02-01,Elsevier BV
10.1016/j.crpv.2014.10.004,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.10.004,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-02-01,Elsevier BV
10.1016/j.crpv.2014.10.005,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.10.005,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-02-01,Elsevier BV
10.1016/j.crpv.2014.10.006,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.10.006,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-02-01,Elsevier BV
10.1016/j.crpv.2014.10.007,oa repository (via OAI-PMH title and first author match),repository,cc-by,http://osf.io/zwbcp//download,True,publishedVersion,2,https://doi.org/10.1016/j.crpv.2014.10.007,journal-article,True,False,1631-0683,Comptes Rendus Palevol,2015-09-01,Elsevier BV
10.1016/j.crpv.2014.11.002,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.11.002,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-02-01,Elsevier BV
10.1016/j.crpv.2014.11.003,oa repository (via OAI-PMH title and first author match),repository,,https://riunet.upv.es/bitstream/10251/65784/2/CRPALEVOL-D-14-00057R1.pdf,True,submittedVersion,2,https://doi.org/10.1016/j.crpv.2014.11.003,journal-article,True,False,1631-0683,Comptes Rendus Palevol,2015-09-01,Elsevier BV
10.1016/j.crpv.2014.11.004,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.11.004,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-02-01,Elsevier BV
10.1016/j.crpv.2014.11.005,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.11.005,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-04-01,Elsevier BV
10.1016/j.crpv.2014.11.006,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.11.006,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-04-01,Elsevier BV
10.1016/j.crpv.2014.12.001,,,,,False,,2,https://doi.org/10.1016/j.crpv.2014.12.001,journal-article,False,False,1631-0683,Comptes Rendus Palevol,2015-02-01,Elsevier BV
